,by,descendants,id,kids,score,time,title,type,url
0,alexmolas,37,37955600,"[37956175, 37956569, 37956486, 37956664, 37956768, 37955933, 37956838, 37956041, 37956743, 37956694, 37956071, 37955963, 37956360, 37956575]",80,1697808035,In search of the least viewed article on Wikipedia,story,http://colinmorris.github.io/blog/unpopular-wiki-articles
1,sebg,34,37955402,"[37955978, 37955868, 37955867, 37956498, 37955743, 37956614, 37955888, 37955918, 37955746, 37956324, 37956050, 37955824]",79,1697806608,Nakatomi Space,story,https://www.bldgblog.com/2010/01/nakatomi-space/
2,Gedxx,61,37955137,"[37955482, 37955383, 37955541, 37956822, 37956757, 37955434, 37955385, 37955433, 37956494, 37955705, 37956855, 37955504, 37956542, 37955624, 37955906, 37955728, 37955372, 37955913, 37955623, 37955871, 37955516, 37955507, 37955374, 37955717]",90,1697804640,Find the date of your birthday in the number pi,story,https://www.mypiday.com/
3,h1fra,10,37955617,"[37956885, 37956580, 37956096, 37956438, 37956397, 37956365]",33,1697808140,Versioning data in Postgres? Testing a Git like approach,story,https://www.specfy.io/blog/7-git-like-versioning-in-postgres
4,ingve,184,37952719,"[37955156, 37953035, 37954110, 37952958, 37953460, 37953748, 37953320, 37953501, 37953004, 37954681, 37953163, 37954944, 37955005, 37954987, 37954826, 37954589, 37954744, 37955210, 37953637, 37953207, 37953137, 37953952, 37953201, 37955312, 37953084, 37955262, 37953709, 37955139, 37953503, 37953798, 37953222, 37953596, 37953844, 37953257, 37955163, 37953513, 37953937, 37952980, 37953661, 37954249, 37954958, 37953736, 37954467, 37953322, 37953081, 37955215]",293,1697780927,Using extra Firefox profiles to make my life better,story,https://utcc.utoronto.ca/~cks/space/blog/web/FirefoxExtraProfilesHack
5,rntn,15,37955952,"[37956596, 37956573, 37956419, 37956693, 37956682, 37956506, 37956754, 37956787, 37956590, 37956399]",56,1697809749,"Nonprofit hospitals skimp on charity while CEOs reap millions, report finds",story,https://arstechnica.com/health/2023/10/nonprofit-hospitals-skimp-on-charity-while-ceos-reap-millions-report-finds/
6,warrenm,1,37956089,[37956091],12,1697810301,Humming-Birds,story,https://www.c82.net/work/?id=395
7,novaRom,7,37954600,"[37956434, 37955934, 37955645, 37955833, 37955699, 37954705, 37956604]",74,1697800080,Hexagonal Grids (2013),story,https://www.redblobgames.com/grids/hexagons/
8,clockworksoul,5,37955658,"[37956759, 37956615, 37956161, 37956351]",22,1697808352,AI tidies up Wikipedia's references – and boosts reliability,story,https://www.nature.com/articles/d41586-023-02894-x
9,f311a,6,37955264,"[37956858, 37956830, 37956291]",44,1697805653,Encrypted traffic interception on Hetzner and Linode targeting Jabber service,story,https://notes.valdikss.org.ru/jabber.ru-mitm/
